symbol,geneticConstraint,hasHighQualityChemicalProbes,expressionAtlas
MTMR9,-0.332046332046332,,0.0
SLC6A3,-0.8035300606729179,0,0.0
TSPAN14,-0.4569222283507997,,0.0
AP3D1,-0.7489244346387203,,0.0
COX7C,0.0848317705460561,,0.0
SPI1,-0.8872586872586873,,0.0
DRD2,-0.8243794815223386,1,0.0
EEF2,-0.8061776061776061,,0.0095928176652144
EPM2A,0.3776061776061776,,0.0
VPS28,0.6675124103695533,,0.1175685464225113
PIP5K1A,-0.3608383894098179,,0.0
IDUA,0.5548814120242691,,0.0
HTR1A,-0.0130170987313844,1,0.0
APH1A,-0.2782129067843353,,0.0
CLK3,-0.6822945394373966,1,0.0
CHRNA7,0.1740761169332598,,0.0
CDH13,-0.7340319911748483,,0.0
PDE7B,-0.2997242140099283,,0.0
MAK,-0.1285162713734142,,0.0
PPARG,-0.5346938775510204,1,0.0
MINDY2,0.0873690016547159,,0.0
MMP25,0.6458907887479317,,0.0
HTR6,0.6153337010479867,,0.0
EGFR,-0.7139547710976282,1,0.0718317282669526
PANK1,-0.2600110314396029,1,0.0
DRD1,-0.9222283507997794,,0.0
PTGS2,-0.8618863761720905,0,0.0
MRPS27,0.3172642029784887,,0.0
ING3,-0.9043574186431328,,0.0
DLD,-0.3992277992277993,,0.0839037129740863
QPCT,0.5110865968008824,,0.0
NCSTN,-0.8508549365692223,,0.0
MTMR10,-0.1259790402647546,,0.0204943956784833
PDE9A,0.219746276889134,1,0.0
CREB1,-0.962934362934363,,0.0
PSENEN,-0.6296745725317154,,0.0
KAT5,-0.5762824048538334,,0.0
MOB3B,-0.4796469939327082,,0.0
ULK4,-0.0444567015995587,,0.0
ELOVL7,0.124765581908439,,0.0415174103328786
ESR2,0.0580253723110866,0,0.0
GABRB1,-0.6136789851075566,,0.0127773923850814
BRD2,-0.9018201875344732,1,0.013777029209978
RELA,-0.7947049089906233,0,0.0
UQCRB,-0.0296745725317153,,0.0
CREB3L3,0.3252068394925538,,0.0
GAK,-0.4529509100937672,1,0.0
ADRA2B,0.7192498621070049,1,0.0
CNTNAP2,-0.407942636514065,,0.009227272432312
JUN,-0.4166574738003309,,0.0
LMNA,-0.7811362382790954,,0.0
