id_farmaco,num_apariciones,lista_dianas,potencia_media,nombre
CHEMBL3670385,4,['BACE1'],7.4175,Sin nombre
CHEMBL3683821,4,['BACE1'],6.08,Sin nombre
CHEMBL3683819,4,['BACE1'],6.0649999999999995,Sin nombre
CHEMBL3683818,4,['BACE1'],6.005,Sin nombre
CHEMBL3683853,4,['BACE1'],7.535,Sin nombre
CHEMBL3683849,4,['BACE1'],7.535,Sin nombre
CHEMBL3683864,4,['BACE1'],6.9350000000000005,Sin nombre
CHEMBL3683888,4,['BACE1'],6.1,Sin nombre
CHEMBL3683902,4,['BACE1'],5.695,Sin nombre
CHEMBL3688650,4,['BACE1'],6.405,Sin nombre
CHEMBL3688649,4,['BACE1'],7.175,Sin nombre
CHEMBL3688641,4,['BACE1'],7.245,Sin nombre
CHEMBL3688691,4,['BACE1'],6.43,Sin nombre
CHEMBL3688710,4,['BACE1'],8.8,Sin nombre
CHEMBL3688758,4,['BACE1'],5.869999999999999,Sin nombre
CHEMBL182419,4,['GSK3B'],8.3,Sin nombre
CHEMBL4107165,4,['BACE1'],7.945,Sin nombre
CHEMBL3414708,4,['BACE1'],6.4325,Sin nombre
CHEMBL3414706,4,['BACE1'],5.5825,Sin nombre
CHEMBL489422,4,['GSK3B'],8.0325,Sin nombre
CHEMBL3422241,4,['BACE1'],7.335,Sin nombre
CHEMBL2403769,4,['BACE1'],8.02,Sin nombre
CHEMBL3634125,4,['BACE1'],7.9399999999999995,Sin nombre
CHEMBL362814,4,['GSK3B'],8.36,Sin nombre
CHEMBL3688773,4,['BACE1'],6.3149999999999995,Sin nombre
CHEMBL3703220,4,['BACE1'],6.02,Sin nombre
CHEMBL2177343,4,['BACE1'],7.7700000000000005,Sin nombre
CHEMBL3703254,4,['BACE1'],6.825,Sin nombre
CHEMBL3703287,4,['BACE1'],6.2425,Sin nombre
CHEMBL3703283,4,['BACE1'],6.175,Sin nombre
CHEMBL3703288,4,['BACE1'],6.2825,Sin nombre
CHEMBL374184,4,['ACHE'],7.0675,Sin nombre
CHEMBL2152920,4,['BACE1'],8.76,Sin nombre
CHEMBL2152919,4,['BACE1'],8.8025,Sin nombre
CHEMBL3323053,4,['ACHE'],6.125,Sin nombre
CHEMBL3323035,4,['ACHE'],7.092499999999999,Sin nombre
CHEMBL3357669,4,['BACE1'],7.1925,Sin nombre
CHEMBL5074629,4,['GSK3B'],6.8925,Sin nombre
CHEMBL5087421,4,['GSK3B'],6.115,Sin nombre
CHEMBL5173945,4,['GSK3B'],8.195,Sin nombre
CHEMBL130458,4,['ACHE'],7.8475,TOLSERINE
CHEMBL337300,4,['GSK3B'],8.05,Sin nombre
CHEMBL341658,4,['ACHE'],8.1875,Sin nombre
CHEMBL2152918,4,['BACE1'],8.885000000000002,Sin nombre
CHEMBL401475,4,['BACE1'],7.63,Sin nombre
CHEMBL403727,4,['BACE1'],7.65,Sin nombre
CHEMBL403429,4,['BACE1'],7.04,Sin nombre
CHEMBL3763944,4,"['BACE1', 'GSK3B']",5.9275,Sin nombre
CHEMBL381826,4,['BACE1'],8.32,Sin nombre
CHEMBL2152903,4,['BACE1'],9.2025,Sin nombre
CHEMBL216543,4,['GSK3B'],7.1850000000000005,Sin nombre
CHEMBL3989948,4,['BACE1'],8.665,LANABECESTAT
CHEMBL1940612,4,"['ACHE', 'BACE1']",5.8575,Sin nombre
CHEMBL2151151,4,['BACE1'],8.3725,Sin nombre
CHEMBL2151149,4,['BACE1'],6.695,Sin nombre
CHEMBL2151058,4,['BACE1'],8.7075,Sin nombre
CHEMBL3900970,4,['BACE1'],6.77,Sin nombre
CHEMBL3898784,4,['BACE1'],7.95,Sin nombre
CHEMBL3903133,4,['BACE1'],6.5225,Sin nombre
CHEMBL3906250,4,['BACE1'],7.34,Sin nombre
CHEMBL328102,4,['ACHE'],7.0024999999999995,Sin nombre
CHEMBL326705,4,['GSK3B'],6.55,Sin nombre
CHEMBL3261082,4,['BACE1'],7.585,Sin nombre
CHEMBL33051,4,['ACHE'],4.1899999999999995,Sin nombre
CHEMBL5270046,4,"['ACHE', 'BACE1']",5.0725,Sin nombre
CHEMBL5278465,4,['GSK3B'],7.8475,Sin nombre
CHEMBL3304306,4,"['ACHE', 'BACE1']",7.404999999999999,Sin nombre
CHEMBL3301610,4,['GSK3B'],7.1725,ABEMACICLIB
CHEMBL329531,4,['ACHE'],6.47,Sin nombre
CHEMBL329231,4,['ACHE'],9.24,Sin nombre
CHEMBL328715,4,['ACHE'],6.09,Sin nombre
CHEMBL3912456,4,['BACE1'],5.595,Sin nombre
CHEMBL3916242,4,['BACE1'],7.6,Sin nombre
CHEMBL3920879,4,['BACE1'],7.2025,Sin nombre
CHEMBL2048047,4,['BACE1'],7.9799999999999995,Sin nombre
CHEMBL208599,4,['ACHE'],8.8025,HUPRINE X
CHEMBL392662,4,['BACE1'],5.715,Sin nombre
CHEMBL3927975,4,['BACE1'],6.79,Sin nombre
CHEMBL3929456,4,['BACE1'],7.8425,Sin nombre
CHEMBL393501,4,['BACE1'],4.6975,Sin nombre
CHEMBL297453,4,"['BACE1', 'GSK3B']",5.73,EPIGALOCATECHIN GALLATE
CHEMBL3127104,4,['BACE1'],7.805,Sin nombre
CHEMBL556143,4,['BACE1'],6.55,Sin nombre
CHEMBL560612,4,['BACE1'],7.4925,Sin nombre
CHEMBL560092,4,['BACE1'],8.125,Sin nombre
CHEMBL127857,4,['ACHE'],7.66,Sin nombre
CHEMBL315013,4,['ACHE'],6.7325,Sin nombre
CHEMBL328468,4,['ACHE'],9.02,Sin nombre
